word;nSub;ValenceM;ValenceSD;ArousalM;ArousalSD;HappyM;HappySD;AngerM;AngerSD;SadM;SadSD;FearM;FearSD;DisgustM;DisgustSD;ConcretenessM;ConcretenessSD
ŞEYTANİ;38;1.702702703;1.288083522;5.783783784;2.250125122;7.121212121;16.41028179;53.59375;31.31613969;35.09375;31.82650486;58.80645161;34.38354195;45.03448276;36.24074538;25.88235294;30.72928196
HIRS;39;4.179487179;1.998312378;6;2.051956704;32.85714286;31.28252929;55.57142857;27.29284081;41.96969697;29.85641142;49.14705882;31.04164588;45.12121212;31.12852146;28.68571429;25.40005955
NEZLE;37;4.108108108;3.281122638;4.694444444;2.423921786;9.117647059;15.90838297;32.65625;32.96000448;49.4;31.95143373;29.8125;30.60301219;45.17647059;37.38130353;76.86486486;25.19166767
SIKKIN;37;2.611111111;1.901544902;4.916666667;2.522753598;14.37931034;25.88630884;45.24137931;33.56513409;56.06451613;34.26556628;30.26923077;34.65897597;45.17857143;34.87655858;30.03125;29.97900811
CÜZZAM;38;2.868421053;2.170702373;5.684210526;2.291055029;8.8;14.24272349;43.13793103;35.47607256;66.96774194;31.57687326;62.09375;33.68100774;45.23333333;38.33489752;65.09090909;31.01246084
HORULTU;39;2.552631579;1.781244151;5.815789474;2.380725113;6.457142857;11.16281342;58;36.1897357;27.20588235;31.49293274;31.03225806;35.51007732;45.27272727;39.07866484;74.08571429;31.19235524
CEZAEVİ;35;2;1.414213562;5.428571429;2.291746243;7.419354839;12.28759318;63.71875;33.24807477;72.14705882;25.7683531;68.70588235;32.6306506;45.28125;37.42281034;87.06060606;19.34221322
DUYARSIZ;36;5.194444444;3.096721256;5;2.32992949;7;12.62613776;63.67647059;30.06227938;53.52941176;31.69096544;26.77419355;32.65446338;45.32258065;39.24571068;28.97058824;29.4746787
MAYIN;35;1.628571429;1.415995062;5.914285714;2.649877118;6.21875;15.25003305;61.48387097;33.7084272;68.23333333;31.9770212;75.51612903;28.13760351;45.36666667;40.90905248;85.3125;27.00350933
DAĞINIK;39;3.641025641;2.108718487;4.763157895;2.032628581;22.46875;27.58094758;48.08823529;34.88801795;38.70967742;32.28435488;26;31.64928782;45.45714286;33.84944422;68.70588235;29.85472848
KUMARHANE;38;4.789473684;2.923880194;4.921052632;2.734974469;22.42857143;28.83960279;44.61764706;37.094486;48.54285714;35.00364927;43.68571429;38.05473722;45.51428571;36.08761514;82.52777778;15.28301786
PROBLEM;38;2.756756757;1.656727118;5.108108108;2.525247884;14.91176471;20.28787912;54;32.30351748;57.28125;31.82333732;59.25714286;29.87852156;45.51515152;34.20537349;53.41666667;29.24026089
İHMAL;32;2.4375;1.721542819;5.46875;2.341551388;4.933333333;13.6910072;68.03225806;29.81328996;52.3;32.85091717;39.93333333;38.07880516;45.51612903;39.31146649;44.32258065;36.96068821
GICIRTI;38;2.648648649;1.457094068;6.605263158;2.162824401;8.35483871;15.08762934;53.81818182;35.70753995;12.5862069;19.2344877;27.70967742;32.22441471;45.53125;37.43724588;77.38235294;27.84917681
AKILSIZ;37;2.108108108;1.349563382;5.194444444;2.447382794;7.75862069;13.17100488;56.10714286;33.13981525;46.22580645;36.6685239;33;34.87012942;45.5862069;35.00971012;34.40625;35.14014282
MEMNUNİYETSİZ;41;2.175;1.534016013;3.9;2.609646798;7.676470588;13.52376267;48.76470588;32.52510343;43.14285714;31.81947504;24.25;31.65642166;45.61764706;36.66722978;26.11428571;26.14638815
İĞNELEYİCİ;34;2.588235294;1.597681029;5.382352941;2.558582774;8.466666667;13.10628523;63;30.35127674;51.13793103;35.89540772;33.55172414;34.75381398;45.63333333;36.48285694;29.96666667;31.64619423
LAKAYT;40;2.846153846;1.581778838;4.157894737;2.124837873;10.73529412;21.03144662;47.78787879;32.56220737;27.03448276;35.97269079;16.06666667;27.37093013;45.66666667;34.01898979;30.94285714;31.34714816
CILK;40;3.65;1.732790842;4.175;1.933344385;16.81818182;24.26346861;31.09090909;30.57098669;32.15151515;31.03337036;12.33333333;19.56186767;45.91176471;36.69726077;38.08333333;29.3971573
MANTAR;37;5.162162162;2.279297084;4.783783784;2.212780241;40.07407407;34.06659307;16.76923077;23.15738792;22.5;31.0357858;33.80769231;33.60716499;46.03846154;36.55733116;91;15.41159438
BARUT;37;3.081081081;2.126269273;5.162162162;2.630098366;10.05882353;19.7498618;55.88235294;33.08186788;53.70588235;34.99656209;61.25;37.17786369;46.20588235;37.35154811;82.63888889;20.85754783
ÜFÜRÜK;32;5.166666667;2.492517538;4;2.612965022;12.65384615;25.02789213;38.51851852;34.93220948;16.32;25.32903472;25;31.43644382;46.30769231;33.89722022;43.39285714;36.60433013
DEPRESYON;36;2.194444444;2.122255464;5.833333333;2.823371844;4.911764706;14.92885684;52.42424242;36.98566471;79.06060606;27.7544359;69.03225806;31.90766248;46.38235294;39.09895349;23.88235294;31.35405315
HAPİSHANE;36;2.027777778;1.978254802;6.028571429;2.455314935;5.911764706;12.26566444;54.41176471;34.03929783;71.77142857;28.91375178;62.97142857;34.60150091;46.38235294;36.1075957;85.22857143;18.42167156
ISRAR;36;2.583333333;1.480829883;6.333333333;1.897366596;11.11764706;16.51402472;62.94285714;30.67950346;26.97058824;32.13558897;17.09375;26.46892198;46.40625;29.99447194;29.65714286;33.63204254
SAÇMALIK;35;3.771428571;1.816358903;5.085714286;2.187819605;27.7;24.72768935;56.93548387;31.68273503;33.42857143;30.13848109;24.86666667;25.28967805;46.66666667;33.81117274;25.75;25.59989919
HASTANE;42;2.619047619;1.738409435;6.428571429;2.013889056;15.62162162;22.04837025;28.48571429;34.04181808;68.14285714;32.02310091;65.32432432;33.71288416;46.66666667;39.29594672;88.64102564;17.71779834
DEHŞET;38;2.378378378;1.890786893;6.72972973;1.726406812;8.8;17.36765079;62.34375;32.84922484;68.60606061;28.80748535;78.57142857;23.18631152;46.6875;38.2954874;28.08823529;31.85513388
HAPİS;35;1.571428571;1.219588028;5.314285714;2.887818519;5.794117647;15.14331418;53.91176471;40.69053024;63.72727273;36.34837748;70.83870968;34.57850659;46.77419355;40.84255108;79.125;24.80081945
NAMUS;39;4.315789474;2.243371776;5.368421053;2.715531431;18.06666667;22.69426987;45.09375;38.45177908;38.64516129;35.76548465;41.61290323;36.0311693;46.78787879;39.17489436;29;32.42800884
KABİNE;38;4.263157895;1.954678525;4.368421053;2.476058907;14.88888889;21.83387159;48.51724138;39.41140217;35.23076923;35.33531683;37.36;35.01175993;47.03846154;40.82987217;66.71875;30.99972359
KİRLETMEK;37;5.243243243;2.314272209;4.702702703;1.9841716;20.55555556;28.10465789;37.35714286;34.9446274;35.93103448;33.06371666;31.24137931;28.51648041;47.06896552;31.95524888;57;33.3798485
BIKKINLIK;36;4.361111111;3.270236145;6.027777778;2.688452674;6.25;13.02602853;47.87878788;38.94768733;69.09375;32.75555543;34.35483871;35.9467647;47.12121212;38.99099061;27.33333333;33.79688102
SUÇ;37;4.777777778;3.108615779;5.666666667;2.414243448;5.166666667;13.18850945;60.3125;35.73778835;54.61290323;37.10855914;64;33.48233365;47.29032258;39.48096043;37.03125;33.28128833
APTAL;40;2.307692308;1.360221463;5.179487179;2.382742724;11.5625;18.42672936;54.80645161;35.14296454;50.87096774;31.58770007;20.33333333;29.57320937;47.3;35.98385653;43.47058824;34.70065522
BIKKIN;34;2.515151515;1.481578806;5;2.061552813;12.34482759;22.12024907;41.46428571;28.07988887;61.13793103;25.91844922;37.85714286;32.66974394;47.33333333;34.3074336;30.54545455;29.79942419
TRAFİK;36;5.25;3.036680518;5.555555556;2.489342362;6.1875;12.72649636;65.41176471;33.64711492;30.6875;33.61589246;45.13333333;32.96574328;47.36363636;36.11943571;86.94117647;14.24023573
SADİST;37;2.135135135;1.228417278;5.081081081;2.509740783;12.85714286;19.16820722;56.59375;30.05571104;44.12121212;29.1802133;56.71875;29.28638831;47.46875;33.89926669;43.8125;27.98091227
ATIK;37;4.324324324;2.415851058;4.081081081;2.265420961;8;16.39032816;35.55172414;37.11236433;32.39285714;34.66489235;23.77777778;30.17682928;48.03448276;35.43352202;87.38235294;16.38553447
OTOBÜS;41;3.675;1.845125248;4.775;2.106004846;21.20588235;20.62034801;46.63333333;32.71241811;39.06451613;35.65570126;37.77419355;31.95904637;48.07142857;37.48671722;89.97058824;15.74125114
KARI;36;3.138888889;2.3071662;5.833333333;2.524168887;12.6875;27.80512543;56.71875;37.16765362;33.75;34.81657003;15.27272727;25.16107203;48.15151515;39.07454511;65.97058824;32.90342645
TUVALET;36;4.714285714;1.808012047;3.6;2.172014516;31.23529412;29.38981356;13.18181818;20.52354524;9.03125;16.58892825;11.3125;19.17397009;48.27272727;36.77998159;89;15.85875153
ZIRILTI;37;5.228571429;2.941445366;5;2.612188625;8.516129032;14.88146715;59.5862069;30.80064615;33.10344828;34.74328797;13.44827586;21.43026266;48.2962963;36.58900088;66.42857143;28.81284252
İŞGALCİ;34;1.818181818;1.261312448;5.424242424;2.512845785;7.482758621;15.12476845;67.83870968;34.57465042;63.48387097;36.01931979;62.23333333;36.43764947;48.56666667;38.37804988;69.6;31.83535229
FRENGİ;35;2.323529412;1.886484437;4.647058824;2.214037214;6.3;16.4193956;35.10344828;39.63705412;57.86206897;37.25944189;63;35.87116866;48.5862069;40.94030257;63;36.05359994
DİŞ AĞRISI;40;1.5;1.012739367;6.425;2.489851195;1.947368421;6.517947648;56.71052632;35.63243883;63.78378378;37.04211952;61.34210526;39.54626187;48.62162162;40.84751546;85.68421053;21.4401811
OROSPU;39;2.564102564;2.186018633;5.846153846;2.748573425;10.78787879;20.18625395;50.59375;38.17519831;60.39393939;34.97672386;37.65625;36.42279451;49.03125;36.28336896;61.875;35.30854781
ESİR;39;1.641025641;1.087904298;6.282051282;2.491551176;5.212121212;10.98509665;73.70588235;30.38393656;78.24242424;24.30924503;75.94117647;27.75426932;49.09090909;37.79662984;66;30.49282703
TEKMELEMEK;38;3.894736842;2.929712408;5.921052632;2.363936009;13.42424242;23.8249217;72.85714286;27.1652274;53.36363636;32.33401671;59.84375;35.59821432;49.09677419;37.84561167;83.3030303;27.2780645
KORKUNÇ;35;2.2;1.549193338;6.371428571;1.895594184;5;10.97332188;41.65517241;37.29446135;43.03448276;37.75057498;78.53125;27.99767776;49.11111111;38.90158523;30.16129032;26.87141824
MAFYA;38;2.315789474;2.067839493;6.078947368;2.453696373;8.848484848;20.13566676;52.84848485;36.64109818;39.3125;34.62093111;68.36363636;32.30017239;49.12121212;40.02402214;78.97142857;21.5890573
