Words,Translation,Valence_Mean,ET,Arousal_Mean,ET,Mean,ET,Mean ,ET,Mean ,ET,Mean ,ET
astronaute,astronaut,5.87,1.53,4.77,2.44,6.75,1.91,5.00,3.16,5.71,1.41,4.72,2.32
astuce,trick,6.66,1.26,4.82,2.20,5.67,1.00,4.00,2.00,6.79,1.24,4.93,2.22
atrocité,atrocity,1.35,0.85,6.48,2.54,1.88,0.99,7.38,1.85,1.30,0.82,6.38,2.60
attention,attention,5.73,1.44,5.04,2.14,5.50,1.00,5.00,2.76,5.77,1.51,5.05,2.03
attitude,attitude,5.73,1.17,4.05,2.13,4.89,0.33,4.00,1.58,5.84,1.19,4.06,2.21
autre,other,4.89,1.29,3.78,2.47,5.06,1.14,4.29,2.47,4.75,1.41,3.35,2.46
autruche,ostrich,5.11,2.00,3.49,2.74,5.76,1.15,2.94,2.77,4.55,2.39,3.95,2.70
avenir,future,6.38,2.67,6.03,2.82,6.41,2.53,6.12,2.80,6.35,2.85,5.95,2.91
avion,airplane,6.22,2.33,6.41,2.24,6.24,2.49,6.41,2.03,6.20,2.26,6.40,2.46
avocat,avocado,3.84,2.40,3.18,2.40,4.24,2.61,4.00,2.62,3.52,2.23,2.52,2.04
bague,ring,6.27,2.04,4.86,2.84,5.59,1.84,3.18,2.32,6.85,2.06,6.30,2.45
baguette ,rod,6.34,1.77,3.42,2.00,6.29,1.83,3.59,2.03,6.38,1.77,3.29,2.00
baignoire ,bathtub,6.92,1.63,4.26,2.90,6.71,1.79,3.35,2.60,7.10,1.51,5.00,2.98
bain,bath,7.46,1.52,4.35,2.81,7.53,1.33,5.06,2.90,7.40,1.70,3.75,2.65
baisse,fall/drop,3.81,1.35,3.70,2.55,3.76,1.39,4.18,2.27,3.85,1.35,3.30,2.75
balai,broom,4.38,1.65,3.08,2.01,4.44,1.25,3.44,1.69,4.34,1.86,2.88,2.17
balance,scale,3.84,2.11,2.78,2.46,4.35,2.29,2.53,1.77,3.40,1.90,3.00,2.96
balançoire,swing,6.70,1.56,5.14,2.32,6.35,1.62,4.53,2.32,7.00,1.49,5.65,2.25
balcon ,balcony,5.58,1.65,3.58,2.34,5.53,1.46,3.06,1.92,5.62,1.83,4.00,2.61
baleine,whale,5.84,1.83,4.04,2.52,4.83,1.47,4.00,2.47,6.41,1.79,4.06,2.59
balle,ball,5.70,2.44,4.68,2.93,6.00,2.45,5.18,2.74,5.45,2.46,4.25,3.08
ballon,balloon,5.51,1.85,3.81,2.42,5.47,2.15,3.18,2.43,5.55,1.61,4.35,2.35
banalité,banality,4.20,1.39,3.05,1.95,5.13,0.83,2.13,1.36,4.10,1.41,3.15,1.99
banane,banana,6.89,2.02,4.47,2.87,6.71,2.23,4.00,2.89,7.05,1.88,4.86,2.87
banc,bench,5.73,1.48,3.08,2.07,6.12,1.32,3.53,2.12,5.40,1.57,2.70,2.00
banque,bank,4.52,1.99,4.80,2.49,3.83,1.75,4.67,2.96,4.65,2.02,4.83,2.42
barbe ,beard,5.16,1.83,3.59,2.55,5.35,1.97,3.06,2.73,5.00,1.75,4.05,2.37
barre ,bar,4.86,0.82,2.57,2.01,5.00,0.71,2.47,1.94,4.75,0.91,2.65,2.11
barrière,gate,3.75,1.52,3.97,2.29,3.89,1.54,5.11,2.15,3.73,1.53,3.82,2.28
bassine,basin,4.53,1.48,2.81,2.30,4.26,1.71,3.05,2.38,4.75,1.25,2.60,2.26
