Words,Translation,Valence_Mean,ET,Arousal_Mean,ET,Mean,ET,Mean ,ET,Mean ,ET,Mean ,ET
coccinelle,ladybug,7.19,1.56,4.32,2.63,7.18,1.33,4.71,2.37,7.20,1.77,4.00,2.85
cochon,pig,5.48,1.75,3.86,2.27,5.50,1.79,4.17,2.31,5.47,1.76,3.69,2.26
code,code,4.94,1.29,4.22,2.29,4.56,2.19,4.44,2.51,4.99,1.14,4.19,2.27
coeur,heart,7.03,2.10,5.81,2.63,6.12,2.32,5.29,2.26,7.80,1.58,6.25,2.90
coffre,safe,5.73,1.81,4.00,2.47,6.06,1.98,3.65,2.76,5.45,1.64,4.30,2.23
coin,corner,4.50,1.13,3.02,2.16,4.44,1.10,3.61,2.23,4.53,1.16,2.69,2.09
col ,collar,4.97,0.99,2.81,2.18,4.94,1.25,2.88,2.20,5.00,0.73,2.75,2.22
colère,anger,2.78,2.06,6.28,2.50,3.71,2.47,6.35,1.87,2.00,1.21,6.22,2.98
colle ,glue,4.86,1.25,3.19,2.12,5.24,0.90,3.53,2.27,4.55,1.43,2.90,2.00
collier,necklace,6.49,1.56,4.70,1.91,5.88,1.65,4.18,1.78,7.00,1.30,5.15,1.95
colonne,column,4.97,0.99,2.14,1.67,4.71,1.26,2.12,1.73,5.20,0.62,2.15,1.66
commerce,business,5.24,1.81,4.91,2.53,5.25,0.46,3.00,1.85,5.24,1.90,5.13,2.52
commode,dresser,4.76,1.61,3.22,2.56,4.47,2.12,3.53,2.60,5.00,0.97,2.95,2.56
compas,compass,4.52,1.29,3.48,2.10,4.75,0.87,3.33,2.19,4.48,1.36,3.51,2.10
composition,composition,6.38,1.45,4.49,2.37,6.44,1.51,3.78,2.33,6.37,1.45,4.59,2.38
concept,concept,5.77,1.39,4.20,2.30,5.63,1.41,3.13,2.03,5.79,1.39,4.32,2.31
concombre,cucumber,5.61,1.73,3.64,2.09,5.67,1.50,4.50,2.39,5.60,1.77,3.49,2.02
confort,comfort,7.90,1.21,2.70,2.19,7.89,1.05,2.56,1.59,7.90,1.24,2.72,2.26
conseil,advice,6.34,1.76,4.24,2.22,5.65,1.73,3.88,2.15,6.90,1.61,4.52,2.29
conte ,story,6.92,1.52,4.73,2.08,6.88,1.54,4.88,2.45,6.95,1.54,4.60,1.76
coq,rooster,4.46,1.85,2.92,2.19,4.76,1.60,3.65,1.93,4.20,2.04,2.30,2.25
coquillage ,shell,6.50,1.64,4.26,2.62,5.50,1.69,3.67,2.28,7.06,1.34,4.59,2.78
cor,horn,4.34,1.76,3.88,2.11,4.43,1.40,3.24,1.90,4.33,1.80,3.95,2.13
corbeille,basket,4.11,1.58,3.00,1.90,4.71,1.10,3.29,1.86,3.60,1.76,2.75,1.94
corde,rope,3.34,1.94,3.18,2.10,3.41,1.91,3.35,2.21,3.29,2.00,3.05,2.06
corne ,horn,4.82,2.19,3.92,2.79,5.47,2.12,4.65,2.78,4.29,2.15,3.33,2.73
costume,suit,5.74,1.42,4.57,2.27,6.17,1.40,4.25,2.53,5.66,1.42,4.63,2.23
cou ,neck,5.59,2.27,4.41,3.06,5.76,1.79,4.06,3.23,5.45,2.65,4.70,2.96
coude ,elbow,4.73,1.37,3.08,2.23,5.06,1.25,3.41,2.15,4.45,1.43,2.80,2.31
couleur,color,7.24,1.62,4.74,2.69,6.65,1.58,4.06,2.61,7.71,1.52,5.29,2.69
cour,playground,5.26,1.40,3.88,2.03,5.11,1.23,4.06,1.70,5.34,1.49,3.78,2.21
courage,bravery,6.89,1.84,5.31,2.46,7.06,1.68,5.00,2.76,6.75,2.00,5.57,2.21
couronne,crown,5.53,1.97,4.24,2.39,5.65,1.66,4.06,2.22,5.43,2.23,4.38,2.56
cours,lesson,5.18,1.35,4.05,2.05,5.25,0.46,3.00,1.77,5.17,1.41,4.17,2.06
course,race,5.86,2.09,5.48,2.80,6.83,1.98,6.50,2.64,5.31,1.97,4.91,2.76
court,short,4.57,1.49,3.84,1.81,5.17,1.34,3.75,2.42,4.46,1.50,3.86,1.70
couteau,knife,3.74,2.26,4.74,2.88,3.76,2.22,5.29,2.85,3.71,2.35,4.29,2.90
coutume,custom,6.06,1.31,4.49,2.29,6.00,1.41,4.44,1.88,6.07,1.31,4.50,2.35
crabe,crab,6.24,1.94,4.76,2.72,6.88,1.73,5.24,2.44,5.70,1.98,4.35,2.94
craie ,chalk,4.70,1.20,2.95,1.93,4.47,1.07,2.47,1.84,4.90,1.29,3.35,1.95
crainte,fear,2.33,1.25,5.82,2.38,3.13,1.55,4.38,2.56,2.24,1.19,5.99,2.32
crâne,skull,4.60,1.58,4.01,2.23,5.17,1.40,4.08,2.54,4.49,1.60,4.00,2.19
cravate,tie,5.24,2.11,3.89,2.88,5.12,2.06,3.24,2.80,5.35,2.21,4.45,2.89
crayon,pencil,5.24,2.05,3.55,2.33,5.65,2.06,3.35,2.45,4.90,2.02,3.71,2.28
création,creation,7.62,1.24,6.14,2.28,7.11,1.45,5.22,2.54,7.69,1.20,6.27,2.24
crèche,day-care center,5.55,2.13,3.95,2.64,5.47,1.50,3.82,2.46,5.62,2.56,4.05,2.84
crème,cream,6.27,1.71,4.08,2.33,6.24,2.11,4.18,2.48,6.30,1.34,4.00,2.25
crêpe ,pancake,7.82,1.55,6.14,2.43,7.50,1.34,5.94,2.34,8.00,1.65,6.25,2.51
creux,cavity,4.00,1.41,3.61,1.79,3.88,1.46,3.13,1.89,4.01,1.42,3.66,1.79
crevette ,shrimp,4.89,2.18,3.76,2.60,5.06,1.71,3.65,2.80,4.75,2.55,3.85,2.48
cricket,cricket,4.73,1.63,3.83,2.07,5.50,1.73,4.42,2.97,4.58,1.58,3.72,1.88
crise,crisis,2.04,1.21,6.23,2.63,3.11,1.36,4.56,2.74,1.90,1.12,6.46,2.55
crocodile,crocodile,4.45,1.91,5.08,2.84,4.47,1.66,5.06,2.93,4.43,2.13,5.10,2.84
croissant,croissant,7.08,1.79,4.32,2.66,6.94,1.82,4.53,2.50,7.20,1.79,4.15,2.83
croix ,cross,4.35,2.10,3.68,2.71,4.71,2.11,4.29,2.89,4.05,2.09,3.15,2.50
croyance,belief,5.08,2.15,3.54,2.60,4.76,2.14,3.94,2.63,5.35,2.18,3.20,2.59
cruauté,cruelty,1.66,1.57,6.80,2.53,2.25,1.49,7.13,2.03,1.59,1.57,6.76,2.59
cruche,pitcher,4.04,1.75,3.89,2.06,4.50,1.51,3.75,2.42,3.95,1.79,3.92,2.00
cube ,cube,5.38,1.14,2.95,1.93,5.53,1.55,3.76,2.05,5.25,0.64,2.25,1.55
cuillère,spoon,5.22,1.08,2.43,1.77,5.29,0.92,2.47,1.66,5.15,1.23,2.40,1.90
cuisine ,kitchen,6.84,1.94,5.51,2.89,6.35,1.66,4.35,2.78,7.25,2.10,6.50,2.67
cuisinière,stove,5.62,1.92,3.92,2.56,6.06,1.95,4.59,2.58,5.25,1.86,3.35,2.48
cuisson,cooking,6.06,1.58,4.47,2.17,5.67,1.32,4.67,1.58,6.12,1.62,4.44,2.25
cupidité,cupidity,3.35,1.90,4.88,2.32,3.63,1.41,3.50,1.85,3.31,1.95,5.04,2.33
cure,therapy,4.60,1.91,4.01,2.11,4.92,1.73,3.92,2.27,4.54,1.95,4.03,2.10
cygne,swan,6.52,1.52,3.98,2.49,5.83,1.42,4.06,2.46,6.91,1.44,3.94,2.54
danger,danger,3.59,2.58,6.89,2.07,4.29,2.69,6.65,1.93,3.00,2.38,7.10,2.20
danseuse ,dancer,7.11,1.78,5.22,3.13,6.82,2.07,5.12,3.22,7.35,1.50,5.30,3.13
date,date,5.24,1.51,3.76,2.39,5.33,0.69,4.67,2.06,5.19,1.83,3.23,2.43
dauphin,dolphin,7.08,1.89,5.08,2.86,7.18,1.55,5.00,2.52,7.00,2.18,5.15,3.18
dé,dice,4.58,1.91,3.66,2.16,5.00,2.15,4.24,2.46,4.24,1.67,3.19,1.81
début,start,6.43,1.51,4.56,2.68,5.33,0.71,4.67,2.29,6.57,1.53,4.54,2.75
délicat,delicate,6.70,1.60,3.30,2.09,6.25,1.39,3.13,1.89,6.75,1.63,3.32,2.12
demande,question,5.32,1.46,4.46,2.12,5.08,1.38,4.17,2.48,5.36,1.48,4.52,2.07
démon,demon,2.36,1.86,6.32,2.40,4.33,1.80,6.11,1.45,2.12,1.71,6.34,2.50
dent ,tooth,4.08,1.75,3.43,2.50,4.53,1.33,3.41,2.00,3.70,2.00,3.45,2.91
désagréable,unpleasant,1.76,1.34,5.52,2.54,2.13,1.46,5.63,2.67,1.72,1.33,5.51,2.55
désordre,disorder,3.14,1.94,5.60,2.59,3.67,2.10,4.75,2.63,3.05,1.91,5.75,2.57
destin,destiny,6.45,1.72,5.14,2.19,5.56,1.74,5.00,2.29,6.57,1.70,5.16,2.19
dévotion,devotion,5.59,1.90,4.47,2.19,4.88,1.46,4.00,2.67,5.67,1.94,4.53,2.14
diable ,devil,3.57,2.62,6.05,2.43,4.94,3.01,6.18,2.21,2.40,1.50,5.95,2.65
dieu,god,4.35,2.38,4.35,3.34,4.35,2.71,5.59,3.71,4.35,2.13,3.30,2.66
difficulté,difficulty,2.99,1.91,6.00,2.26,3.67,1.78,5.42,2.54,2.86,1.92,6.11,2.21
digestion,digestion,4.79,1.42,3.53,2.12,4.67,1.58,3.67,1.73,4.81,1.41,3.51,2.18
dinosaure,dinosaur,5.86,2.28,4.76,2.68,6.82,2.10,5.65,2.69,5.05,2.14,4.00,2.49
disque ,record,6.58,1.64,4.80,2.54,6.22,1.83,4.61,2.83,6.78,1.52,4.91,2.40
distance,distance,3.03,1.66,4.47,2.44,4.25,1.04,3.50,2.33,2.89,1.66,4.58,2.45
distinction,distinction,5.27,1.44,4.26,2.04,5.33,1.44,4.08,2.31,5.26,1.45,4.30,2.01
docteur,doctor,4.43,2.14,3.92,2.81,4.35,1.97,4.29,2.59,4.50,2.33,3.60,3.02
doigt,finger,5.40,1.54,3.70,2.50,4.94,1.47,4.11,2.11,5.66,1.54,3.47,2.70
domino ,domino,4.61,1.75,2.47,1.74,4.82,1.47,2.94,1.89,4.43,1.96,2.10,1.55
dos,back,5.59,1.98,4.49,2.46,6.18,2.10,4.71,2.71,5.10,1.77,4.30,2.27
douceur,gentleness,7.76,1.28,5.14,2.69,7.47,1.37,5.41,2.53,8.00,1.17,4.90,2.86
douche,shower,6.76,1.74,4.27,2.93,6.71,1.49,4.29,2.80,6.80,1.96,4.25,3.11
douleur,pain,1.86,1.36,5.56,2.89,2.83,1.69,6.17,2.28,1.31,0.69,5.22,3.16
doute,doubt,3.11,1.73,5.16,2.41,3.12,2.00,5.41,2.24,3.10,1.52,4.95,2.58
doux,sweet,7.83,1.17,2.81,2.21,6.89,1.45,2.22,1.30,7.96,1.08,2.88,2.30
douze,twelve,5.11,1.07,2.95,2.28,5.18,1.13,2.94,2.56,5.05,1.05,2.95,2.09
dragon ,dragon,6.18,2.38,4.79,2.96,7.00,2.18,5.47,3.18,5.52,2.38,4.24,2.72
drap ,sheet,5.84,1.40,3.89,2.73,5.53,1.12,3.18,2.60,6.10,1.59,4.50,2.74
drapeau,flag,5.16,2.09,3.11,2.36,5.59,1.91,4.31,2.44,4.80,2.21,2.15,1.84
dur,hard,3.87,1.98,4.77,2.41,4.75,1.16,3.25,2.31,3.77,2.03,4.94,2.38
eau,water,6.59,1.69,3.70,2.57,6.65,1.62,3.18,2.90,6.55,1.79,4.15,2.23
échange,exchange,6.18,2.13,5.11,2.04,5.76,2.28,4.88,2.06,6.52,1.99,5.29,2.05
écharpe,scarf,5.27,1.20,3.60,1.66,5.00,0.85,3.42,1.98,5.32,1.25,3.63,1.61
échelle,ladder,4.70,1.25,3.50,2.36,5.00,0.77,4.39,2.48,4.53,1.44,3.00,2.17
éclair ,lightning bolt,5.05,3.04,4.71,3.46,6.18,2.92,5.41,3.39,4.14,2.89,4.14,3.50
école,school,4.87,2.46,4.39,2.60,4.88,2.29,4.12,2.67,4.86,2.65,4.62,2.60
écologie,ecology,6.90,1.71,4.48,2.51,5.78,1.99,5.78,2.39,7.04,1.63,4.31,2.49
économie,economics,5.35,2.12,4.16,2.15,5.63,0.92,3.38,2.20,5.32,2.22,4.25,2.14
économique,economical,5.31,2.05,4.40,2.42,5.08,1.88,4.75,2.77,5.35,2.09,4.34,2.37
écran ,screen,5.92,1.72,4.32,2.63,5.82,1.78,3.71,2.80,6.00,1.72,4.85,2.41
écrou,nut,4.59,1.13,3.07,1.84,4.11,1.76,3.67,2.00,4.66,1.02,2.99,1.82
écureuil,squirrel,7.19,1.27,4.35,2.41,7.35,0.86,5.18,2.63,7.05,1.54,3.65,2.01
effort,effort,6.03,2.20,5.24,2.68,5.41,1.94,5.71,2.31,6.55,2.33,4.85,2.96
égalité,egality,7.76,1.37,5.25,2.43,7.00,1.51,5.50,2.56,7.85,1.34,5.23,2.43
église,church,3.57,2.33,2.46,2.26,3.94,2.44,2.65,2.37,3.25,2.24,2.30,2.20
égo,ego,4.64,1.90,4.44,2.15,5.25,1.29,4.25,2.14,4.52,1.98,4.48,2.17
électricité,electricity,5.55,1.81,4.61,2.64,5.47,1.84,5.12,2.98,5.62,1.83,4.19,2.32
élément,component,5.38,1.18,3.43,2.03,5.78,1.99,4.22,2.05,5.32,1.04,3.32,2.02
éléphant,elephant,6.03,1.65,3.76,2.40,5.82,2.04,3.47,2.45,6.19,1.29,4.00,2.39
énergie,energy,7.77,1.48,7.19,2.52,7.25,1.67,6.25,2.82,7.83,1.46,7.30,2.48
enfant,child,6.71,2.25,5.58,3.00,6.65,1.77,5.59,2.92,6.76,2.62,5.57,3.14
enfer,hell,3.00,2.36,5.86,2.50,4.06,2.61,6.47,1.77,2.10,1.71,5.35,2.92
ennui,boredom,2.59,1.79,3.86,2.65,3.24,2.08,4.82,2.32,2.05,1.32,3.05,2.68
entrain,drive,6.51,1.71,5.43,2.29,6.17,1.27,4.75,2.26,6.58,1.77,5.56,2.29
entraînement,training,6.23,1.59,5.26,2.47,5.78,2.17,5.33,1.80,6.29,1.51,5.25,2.55
enveloppe,envelope,5.27,1.91,3.41,2.47,5.65,1.77,3.65,2.18,4.95,2.01,3.20,2.73
épée ,sword,5.43,2.09,4.27,2.72,6.47,1.62,4.82,2.67,4.55,2.06,3.80,2.75
équilibre,stability,6.08,1.95,4.27,2.77,6.59,1.84,3.82,2.86,5.65,1.98,4.65,2.70
équité,equity,7.22,1.35,4.57,2.32,5.50,0.76,3.63,2.20,7.41,1.26,4.68,2.32
erreur,error,2.14,1.34,5.30,2.55,2.24,1.39,5.53,2.15,2.05,1.32,5.10,2.88
escalier ,stairs,4.62,1.52,3.41,2.39,4.65,0.79,2.53,2.03,4.60,1.96,4.15,2.46
escargot,snail,4.70,2.21,2.68,2.33,5.35,2.29,3.00,2.37,4.15,2.03,2.40,2.33
espérance,hope,7.43,2.03,5.12,2.68,7.25,2.18,4.42,2.78,7.46,2.02,5.25,2.66
espoir,hope,7.68,2.01,6.19,2.97,7.53,2.10,6.82,2.86,7.80,1.99,5.65,3.03
esprit,spirit,6.74,1.81,4.52,2.52,6.44,2.35,4.89,2.67,6.78,1.74,4.47,2.52
esquimau ,choc-ice,5.59,1.89,3.03,2.06,5.88,1.90,3.88,2.20,5.35,1.90,2.30,1.66
essence,gas,3.38,1.77,3.76,2.50,3.65,2.06,3.76,2.80,3.15,1.50,3.75,2.29
estimation,assesment,5.41,1.59,4.11,2.31,5.38,1.51,2.00,1.85,5.41,1.61,4.35,2.25
été,summer,8.42,1.03,6.92,2.83,7.75,1.42,5.33,3.17,8.54,0.90,7.22,2.69
étiquette ,label,4.24,1.38,2.78,1.99,4.47,1.42,2.71,2.02,4.05,1.36,2.85,2.01
étoile,star,7.65,1.23,5.14,2.51,7.65,1.00,5.94,1.75,7.65,1.42,4.45,2.87
étroit,narrow,4.01,1.57,4.09,2.24,5.22,1.92,4.78,1.79,3.85,1.46,4.00,2.29
étude,study,6.77,1.36,4.96,2.27,6.75,1.28,4.13,2.70,6.77,1.38,5.06,2.22
évènement,event,6.69,1.56,5.94,2.51,6.25,1.54,5.50,3.23,6.77,1.56,6.02,2.37
éventail,fan,5.42,2.01,3.16,2.18,5.47,1.74,2.94,1.92,5.38,2.25,3.33,2.39
évier ,kitchen sink,4.19,1.54,2.46,1.97,4.29,1.45,2.59,2.06,4.10,1.65,2.35,1.93
excuse,excuse,5.03,2.50,3.65,2.50,5.00,2.26,3.24,2.59,5.05,2.74,4.00,2.43
face ,face,5.05,1.18,3.65,2.21,5.18,0.81,3.76,1.86,4.95,1.43,3.55,2.52
facilité,ease,6.88,1.69,3.88,2.35,5.44,1.94,3.67,1.66,7.07,1.58,3.91,2.44
faculté,faculty,6.48,1.31,4.63,2.06,6.13,1.25,3.38,1.85,6.52,1.32,4.77,2.05
fainéant,lazy,4.78,2.31,4.45,2.38,5.00,2.30,3.75,2.38,4.74,2.33,4.58,2.38
famille,family,6.97,2.75,6.00,2.48,6.82,2.72,5.41,2.74,7.10,2.85,6.50,2.19
fanfare,brass band,6.11,2.23,5.41,2.33,6.12,2.09,5.29,2.08,6.10,2.40,5.50,2.56
fantasme,fantasy,7.55,1.26,6.87,2.30,7.78,0.97,6.89,2.57,7.51,1.30,6.87,2.28
fantôme,ghost,4.59,2.48,5.30,2.93,5.47,1.84,4.24,2.68,3.85,2.74,6.20,2.89
faon ,fawn,6.19,1.52,3.78,1.92,6.35,1.37,4.35,1.69,6.05,1.67,3.30,2.00
fatigue,tiredness,2.52,1.30,3.10,2.60,2.94,1.26,4.06,2.41,2.28,1.28,2.56,2.58
faute,mistake,2.95,1.75,5.16,2.66,3.24,2.14,6.06,2.61,2.70,1.34,4.40,2.52
faveur,favor,6.51,1.62,4.46,2.03,6.25,1.58,3.63,2.20,6.54,1.64,4.55,2.01
fée ,fairy,6.81,1.76,4.76,2.45,6.65,2.18,4.76,2.41,6.95,1.36,4.75,2.55
féminine,feminine,7.60,1.38,5.52,2.54,6.75,1.91,5.92,2.68,7.75,1.21,5.45,2.53
femme ,woman,7.39,1.78,5.59,3.11,8.29,1.16,7.00,2.67,6.67,1.88,4.46,3.02
fenêtre,window,5.74,1.24,3.22,1.79,5.39,1.46,3.61,1.75,5.94,1.08,3.00,1.80
fer,iron,4.79,2.09,4.05,2.60,5.06,1.89,4.71,2.80,4.57,2.27,3.52,2.36
fermeture,closure,3.62,1.91,3.19,2.40,3.59,1.73,3.12,2.09,3.65,2.08,3.25,2.69
féroce,ferocius,3.32,1.91,6.75,2.20,4.44,1.51,7.00,1.73,3.18,1.92,6.72,2.26
fertilité,fertility,6.03,2.75,5.22,2.55,6.13,1.64,4.38,2.33,6.01,2.86,5.31,2.57
fête,party,8.34,1.21,7.63,2.43,7.76,1.56,6.94,2.68,8.81,0.51,8.19,2.11
feu,traffic light,6.03,2.44,5.30,2.73,6.88,1.90,6.29,2.28,5.30,2.66,4.45,2.84
feuille,leaf,5.92,1.79,3.73,2.17,6.59,1.91,4.47,2.50,5.35,1.50,3.10,1.65
fève ,lucky charm,5.78,1.87,4.43,2.36,5.88,1.58,4.65,2.34,5.70,2.13,4.25,2.43
fidélité,faithfulness,8.03,1.12,4.51,2.77,7.00,1.12,3.89,2.20,8.16,1.06,4.59,2.83
fièvre,fever,1.97,1.73,3.68,2.91,2.12,1.87,4.41,2.81,1.86,1.65,3.10,2.93
fil,thread,5.05,1.33,3.14,2.20,5.53,1.18,3.47,2.48,4.65,1.35,2.85,1.95
fille ,girl,5.97,2.05,4.49,2.76,6.76,2.17,5.24,3.03,5.30,1.72,3.85,2.39
film,movie,7.78,1.25,6.08,2.50,7.24,1.39,6.29,2.34,8.25,0.91,5.90,2.67
flèche,arrow,5.32,1.55,4.00,2.49,5.59,1.42,4.29,2.91,5.10,1.65,3.75,2.12
fléchette,dart,4.97,1.55,3.49,2.46,5.35,1.66,3.82,2.38,4.65,1.42,3.20,2.55
fleur,flower,7.21,1.42,3.47,2.45,6.88,1.50,2.71,2.26,7.48,1.33,4.10,2.47
flocon,snowflake,7.03,1.95,5.49,2.72,6.65,1.93,5.53,2.32,7.35,1.95,5.45,3.09
flûte,flute,4.95,2.45,4.03,2.62,5.12,2.62,4.18,2.43,4.80,2.35,3.90,2.83
foin ,hay,5.30,1.98,3.35,2.73,5.00,1.84,3.41,2.62,5.55,2.11,3.30,2.89
folie,dementia,6.70,2.54,6.95,2.44,6.82,2.27,6.65,2.71,6.60,2.80,7.20,2.21
football,football,4.47,2.18,4.70,2.54,4.50,2.83,4.00,2.45,4.46,2.12,4.77,2.56
force,force,6.49,2.05,5.81,2.71,6.35,1.50,4.88,3.00,6.60,2.46,6.60,2.21
forêt,forest,6.57,1.69,4.00,2.58,6.94,1.39,4.65,2.67,6.25,1.89,3.45,2.44
forme,shape,5.81,1.51,3.32,2.56,5.35,1.37,3.00,2.40,6.20,1.54,3.60,2.72
fort,strong,7.04,1.75,6.26,2.31,6.83,1.85,5.42,3.15,7.08,1.74,6.42,2.12
fortune,wealth,6.99,1.69,5.70,2.46,6.22,2.39,5.78,2.17,7.09,1.57,5.69,2.51
fouet,whip,3.59,2.15,5.38,2.82,3.76,2.49,5.82,2.81,3.45,1.88,5.00,2.85
fourchette,fork,5.50,1.37,3.60,2.35,5.72,1.36,4.17,2.31,5.38,1.39,3.28,2.34
fourmi,ant,5.03,1.78,3.55,2.47,4.65,2.00,3.88,2.57,5.33,1.56,3.29,2.41
fraise,strawberry,7.27,1.57,4.81,2.39,7.29,1.31,5.82,2.16,7.25,1.80,3.95,2.28
framboise (mûre),raspberry,7.60,1.58,5.82,2.37,7.33,1.28,5.94,2.04,7.75,1.72,5.75,2.57
français,French,5.91,1.45,4.13,2.11,5.25,0.71,2.38,1.92,5.99,1.50,4.33,2.05
franchise,frankness,7.40,1.53,4.99,2.54,6.92,1.62,4.33,2.96,7.49,1.51,5.11,2.46
frein,brake,5.22,1.54,3.80,2.56,5.76,1.35,4.72,2.63,4.94,1.58,3.28,2.40
fréquence,frequency,4.87,1.18,3.86,2.23,4.89,1.76,4.67,1.58,4.86,1.10,3.75,2.29
frigidaire,refrigerator,5.81,2.12,3.73,2.47,5.53,1.77,3.47,2.45,6.05,2.39,3.95,2.52
frite,French fry,7.22,1.57,5.05,2.31,7.24,1.25,5.53,2.35,7.20,1.82,4.65,2.25
fromage,cheese,6.42,2.07,3.63,2.45,7.35,1.11,3.82,2.16,5.67,2.37,3.48,2.71
front,forehead,4.89,0.77,2.57,2.12,4.65,1.00,2.71,1.99,5.10,0.45,2.45,2.26
fruit,fruit,7.22,1.40,4.51,2.50,7.47,1.23,5.06,2.70,7.00,1.52,4.05,2.28
fumée,smoke,3.42,2.18,4.66,2.60,4.13,1.89,3.75,1.75,3.34,2.20,4.76,2.66
fusée,rocket,5.97,2.03,4.73,2.89,7.12,1.69,6.12,2.64,5.00,1.81,3.55,2.61
gaieté,gaiety,8.16,1.35,5.92,2.81,7.82,1.59,5.12,3.30,8.43,1.08,6.57,2.23
gant,glove,4.68,1.60,2.86,2.00,4.82,1.19,3.18,2.10,4.55,1.90,2.60,1.93
garage ,garage,5.05,1.60,3.32,2.08,5.65,1.54,3.71,1.69,4.55,1.50,3.00,2.36
garçon ,boy,6.51,1.97,4.62,2.97,5.18,1.70,3.18,2.48,7.65,1.39,5.85,2.83
gâteau,cake,7.57,1.72,6.05,2.16,7.18,1.81,5.76,2.25,7.90,1.62,6.30,2.11
gauche,left,5.06,1.63,3.02,2.29,5.22,1.11,3.33,1.94,4.97,1.87,2.84,2.48
gaufre,waffle,7.34,1.49,5.24,2.60,7.11,1.64,5.00,2.38,7.47,1.41,5.38,2.74
génie,genius,7.21,1.50,5.47,2.34,7.00,1.41,5.58,2.68,7.25,1.52,5.45,2.29
genre,type,5.20,0.73,3.41,1.96,5.00,0.00,4.22,1.86,5.23,0.77,3.31,1.96
gens ,people,5.11,2.17,4.65,2.68,5.12,1.87,4.29,2.57,5.10,2.45,4.95,2.80
gentillesse,kindness,8.11,1.39,4.47,2.98,7.65,1.77,4.00,2.50,8.48,0.87,4.86,3.32
geste,movement,5.24,1.34,3.49,2.06,4.76,1.20,2.76,2.08,5.65,1.35,4.10,1.89
gilet,vest,5.16,1.91,3.59,2.70,5.12,2.15,3.71,3.04,5.20,1.74,3.50,2.46
girafe,giraffe,6.02,1.81,4.28,2.51,5.33,1.64,4.11,2.25,6.41,1.81,4.38,2.67
glace,ice,7.06,1.83,5.50,2.45,6.72,1.71,5.28,2.54,7.25,1.90,5.63,2.43
gloire,fame,7.63,1.46,6.48,2.18,7.38,2.00,6.50,2.98,7.66,1.40,6.48,2.10
gomme ,eraser,4.92,1.32,2.58,1.90,4.61,1.20,2.72,1.90,5.09,1.38,2.50,1.92
gorge,throat,4.54,1.68,3.50,2.27,4.78,1.90,4.33,2.30,4.41,1.56,3.03,2.15
gorille,gorilla,5.41,1.89,4.32,2.80,5.88,1.76,4.29,2.87,5.00,1.95,4.35,2.81
gourde ,water bottle,5.22,1.73,3.39,2.21,5.26,1.88,3.82,2.19,5.19,1.66,3.05,2.22
goutte ,drop,5.11,2.52,3.29,2.07,5.94,2.33,2.71,1.90,4.43,2.52,3.76,2.12
grain ,grain,5.14,1.31,2.94,2.16,5.39,1.46,4.00,2.28,5.00,1.22,2.34,1.88
grand,big,6.14,1.62,4.75,2.40,6.08,1.44,4.50,2.39,6.15,1.66,4.80,2.41
grenouille,frog,5.62,1.80,3.95,2.41,6.12,1.65,3.82,2.43,5.20,1.85,4.05,2.46
griffe ,claw,4.78,2.14,4.22,2.39,5.61,2.03,5.06,2.39,4.31,2.09,3.75,2.30
grille-pain,toaster,5.22,1.65,3.47,2.33,5.00,1.37,2.82,2.13,5.41,1.87,4.03,2.40
grimace,grimace,5.49,2.34,4.32,2.58,5.41,2.29,3.71,2.31,5.55,2.44,4.85,2.74
groupe,group,5.81,1.76,4.54,2.04,6.24,1.75,4.59,1.73,5.45,1.73,4.50,2.31
grue,crane,4.93,1.14,3.64,2.02,5.22,1.56,4.33,1.66,4.89,1.08,3.55,2.06
guerre,war,2.38,1.74,5.68,2.79,3.18,2.04,5.82,2.38,1.70,1.08,5.55,3.15
guitare,guitar,6.46,1.86,5.14,2.51,6.53,1.50,4.41,2.09,6.40,2.16,5.75,2.71
gym,gym,6.05,1.93,5.33,2.53,5.63,0.92,4.00,1.85,6.10,2.02,5.48,2.56
hache,axe,4.51,2.27,3.81,2.33,5.76,1.68,4.71,2.17,3.45,2.19,3.05,2.24
haine,hate,1.56,1.16,7.06,2.45,2.17,1.80,7.25,1.96,1.58,1.45,7.03,2.54
harpe,harp,6.58,1.67,2.78,2.15,6.89,1.27,3.11,2.20,6.54,1.72,2.74,2.16
hélice,propeller,4.86,0.97,4.42,2.27,5.13,1.36,3.50,1.69,4.83,0.93,4.52,2.32
hélicoptère,helicopter,5.58,2.15,5.03,2.64,6.06,2.25,5.65,2.50,5.19,2.04,4.52,2.69
hérédité,heredity,5.29,1.65,3.92,1.96,5.33,1.44,4.17,2.37,5.28,1.69,3.88,1.89
hérisson ,hedgehog,6.22,1.73,3.92,2.47,6.82,1.33,4.12,2.26,5.70,1.89,3.75,2.67
heure,hour,4.14,1.83,3.76,2.24,4.00,1.21,4.25,2.35,4.24,2.21,3.38,2.13
hibou,owl,5.76,1.89,3.30,2.46,6.47,1.74,4.12,2.80,5.15,1.84,2.60,1.93
hier,yesterday,4.95,1.73,3.65,2.60,4.65,1.77,4.00,2.57,5.20,1.70,3.35,2.64
hippocampe,hippocampus,6.38,1.56,3.43,2.23,5.67,2.00,4.16,1.42,6.48,1.49,3.33,2.30
hippopotame,hippopotamus,6.13,1.74,4.04,2.27,6.25,1.75,4.13,1.96,6.11,1.75,4.03,2.31
